KPI,Loading_PC1,Coefficient,Type
DL_PRB_Usage_Rate,0.6137327622740828,0.26408718019551125,Positive
Rolling_PRB_3h,0.5972678139148138,0.25700236730699505,Positive
PRB_per_User,0.2920763622771561,0.12567949383984517,Positive
Avaibility,0.2920759365430872,0.1256793106478817,Negative
LTE_Setup_Success_Rate,0.28789623241003504,0.12388079776670634,Negative
PRB_Z_Score,0.06647623414266526,0.028604503953323313,Positive
DL_Average_Throughput,0.06481762749820652,0.027890810993270714,Negative
Cell_Traffic_Volume_DL,0.057784591287254605,0.0248645187447012,Positive
Avg_User_NB,0.02665044602271642,0.011467598886221404,Positive
Spectral_Eff,0.020176998223054268,0.008682095682479844,Negative
Gradient_PRB,0.005022864456531196,0.002161321983064025,Positive
